序号,UP主名称,作品ID,作品标题,发布时间,获赞数,分享数,评论数,投币数,收藏数,弹幕数,播放数
1,原神,BV1Pm421g7rG,《原神》活动过场动画-「荒泷生命摇滚堇瓜飞行大合唱」,2024-05-13 18:00:00,58688,5089,3430,15895,10255,2425,510869
2,原神,BV1rt421c795,《原神》过场动画-「道别」,2024-04-30 18:00:36,78272,3413,2547,16892,13650,1331,767406
3,原神,BV1mH4y1G7Ua,《原神》过场动画-「处刑」,2024-04-29 18:05:36,77977,4078,7402,14383,14365,3417,982667
4,原神,BV13w4m117CT,《原神》过场动画-「两界之火的遗烬」,2024-04-29 18:00:36,48826,1265,1921,7800,7330,550,528606
5,原神,BV1Lr42137pp,「终末的赦祷颂-演绎版」：《原神》「光与影的诀别」MV,2024-04-26 12:00:00,125200,9927,3163,45693,27776,2393,2063515
6,原神,BV1KD421n7PG,《原神》EP - 灯影柔寂之夜,2024-04-25 12:00:00,50035,954,1409,5766,6818,733,425611
7,原神,BV1Sr421G7ap,《原神》拾枝杂谈-「阿蕾奇诺：厄影余辉」,2024-04-24 12:00:00,67204,1998,3586,9548,7707,2769,730006
8,原神,BV1Nr42137s3,《原神》角色演示-「阿蕾奇诺：摇篮曲」,2024-04-23 12:00:46,248765,46716,10185,105305,62214,10634,3823147
9,原神,BV18t421P7u7,《原神》阿蕾奇诺角色PV——「安然入睡」,2024-04-18 12:00:46,265927,33073,10178,87854,69832,11442,4332805
10,原神,BV1xZ421Y7a1,《原神》动画短片——「烬中歌」,2024-04-17 12:00:46,500061,139786,22377,308056,196326,39656,6687781
11,原神,BV1sD421p7Tm,《原神》动画短片——「烬中歌」即将发布,2024-04-16 12:00:00,319687,46134,9908,47326,33967,4525,2748874
12,原神,BV1rH4y1K7jS,《原神》4.6版本「两界为火，赤夜将熄」前瞻特别节目,2024-04-12 21:20:00,80058,3086,4330,14093,14926,16409,1499777
13,原神,BV1RC411G7oH,《原神》4.6版本PV：「两界为火，赤夜将熄」,2024-04-12 20:40:46,168368,19352,8895,43233,33377,11351,3632620
14,原神,BV1VZ421B7nU,《原神》EP - 雨濯万象之息,2024-04-02 12:00:00,83239,3572,5763,16009,10920,4333,876022
15,原神,BV1ky421v7N5,《原神》剧情PV-「裁锦织夜」,2024-03-18 18:00:08,77854,3073,3631,22033,15495,1789,781354
16,原神,BV11K421s7J8,《原神》拾枝杂谈-「千织：锦馨满袖」,2024-03-13 12:00:00,58211,1293,2669,6798,5362,1598,611463
17,原神,BV19D42177u9,《原神》角色演示-「千织：绮意千纫」,2024-03-12 12:00:09,151257,15154,6129,37768,24618,2793,1882003
18,原神,BV15H4y1j7xF,《原神》千织角色PV——「绯织一心」,2024-03-07 12:00:59,212463,20363,10343,46547,44645,7285,2671462
19,原神,BV1zK421t7pP,《原神》4.5版本「铓锋锦间裁」前瞻特别节目,2024-03-01 21:00:00,79379,2361,5542,9583,8410,8909,1369507
20,原神,BV1XJ4m1e77G,《原神》4.5版本PV：「铓锋锦间裁」,2024-03-01 20:30:30,106720,4455,5624,19408,18075,3256,2629802
21,原神,BV1UC411W72k,《原神》寻味之旅——「璃月食集」第七期,2024-02-26 12:00:57,81474,3672,2122,18896,9844,3290,619420
22,原神,BV1qF4m1T7t9,瑞兽登楼——《原神》嘉明创作的幕后,2024-02-10 12:00:00,79855,3062,2851,25162,10460,5060,819664
23,原神,BV19p421d7A8,《原神》彩鹞栉春风活动过场动画-「飞鹞问风」,2024-02-09 18:00:01,138424,16693,9272,75308,42071,15369,1234896
24,原神,BV15J4m1b7WW,《原神》拾枝杂谈-「嘉明：霓舞烟霞」,2024-02-01 12:00:00,59999,1324,1998,5228,5674,2056,585386
25,原神,BV1gv421i7ad,《原神》拾枝杂谈-「闲云：云顶星月」,2024-01-31 12:00:00,72903,2101,4080,8134,6720,3568,820930
26,原神,BV1R2421w7pR,《原神》角色演示-「闲云：逸风逍遥」,2024-01-30 12:00:32,209598,29296,10984,58939,38750,15175,2747910
27,原神,BV1rC4y167Vw,《原神》角色演示-「嘉明：吉彩高照」,2024-01-29 12:00:32,163350,19242,5807,30950,25910,9852,1897010
28,原神,BV18a4y1k78p,《原神》闲云角色PV——「玄巧灵心」,2024-01-25 12:00:34,263788,34613,14164,73542,57093,27624,3696610
29,原神,BV1aT4y1b7yA,《原神》提瓦特风尚·衣装PV - 寒月浸霓裳,2024-01-24 12:00:00,127205,14107,9589,22328,15262,10830,1463469
30,原神,BV1be41117NE,《原神》定格动画-「瑞兽祥闻」,2024-01-20 12:00:00,151088,6563,10786,23270,19804,8721,1889693
31,原神,BV1UK411e7kn,《原神》4.4版本「彩鹞栉春风」前瞻特别节目,2024-01-19 21:50:00,109676,5049,18601,23647,17433,44436,2106424
32,原神,BV1yK411e7xJ,原来又是一年,2024-01-19 21:15:31,53938,1782,1864,5723,4059,1730,467790
33,原神,BV1rV411X7FK,《原神》4.4版本PV：「彩鹞栉春风」,2024-01-19 20:50:31,172789,20774,23154,49418,45495,14624,4993020
34,原神,BV1xa4y1m7AS,《原神》「流光拾遗之旅」——尘世篇·金银细工,2024-01-12 12:00:00,91245,8343,2463,25871,10319,3153,712664
35,原神,BV1SN4y1v7k8,《原神》拾枝杂谈-「夏沃蕾：遵行为要」,2024-01-09 18:00:00,48789,961,1837,4888,4282,1488,488833
36,原神,BV16t4y1d7XE,【刘欢】原神×三星堆博物馆联动推广曲《青铜》,2024-01-09 12:00:34,169571,27298,7191,87045,40289,5610,1321784
37,原神,BV1bW4y1P7Qk,《原神》七圣召唤亚洲邀请赛宣传片-「决斗，即将上演！」,2024-01-05 18:00:00,48732,3488,1719,5191,4848,800,547207
38,原神,BV1ZT4y1W7LR,《原神》角色演示-「夏沃蕾：弹无虚发」,2024-01-05 12:00:52,111177,4642,2381,16033,11890,599,1203057
39,原神,BV12e411v7oR,《原神》寻味之旅——「璃月食集」第六期,2024-01-03 12:00:55,102505,4224,2360,23941,11113,3418,772517
40,原神,BV1Qb4y137Ab,《原神》蔷薇与铳枪活动过场动画-「两个铳枪手」,2023-12-27 18:00:08,97866,5113,3877,23123,18495,2522,1014017
41,原神,BV1ZN4y1x74v,《原神》线上音乐会2023 - 无际之旅的旋律,2023-12-22 20:00:00,127356,13589,4137,81444,52874,22466,1086827
42,原神,BV1Ri4y1a7nU,原神×三星堆博物馆联动短片-「古物见闻」,2023-12-20 18:00:40,92618,4865,2308,23957,15845,2440,900688
43,原神,BV1AW4y1F7ZL,《原神》拾枝杂谈-「娜维娅：新航的启幕」,2023-12-20 12:00:00,68646,1570,3116,9642,6264,2375,713700
44,原神,BV1pG411Y7Jv,《原神》角色演示-「娜维娅：非官方追缉」,2023-12-19 12:00:17,231598,36241,8148,83562,47430,10361,2757724
45,原神,BV1si4y1a7Lz,原神×三星堆博物馆联动PV-「仰观千秋 俯察万象」,2023-12-18 12:00:16,206867,24310,5476,69770,41223,9327,1936783
46,原神,BV1Rj411p7b1,《原神交响音乐会2023》上海场官方录播完整版,2023-12-16 12:00:16,238962,47623,9034,199941,137412,59112,3319283
47,原神,BV1hu4y1T7wz,《原神》娜维娅角色PV——「特邀嘉宾」,2023-12-14 12:00:16,210749,21520,8150,59859,33424,7080,2676897
48,原神,BV1pN41157Ah,原神音乐会2023 - 无际之旅的旋律（预告片）,2023-12-09 12:05:00,56916,2010,1528,6412,4558,470,512933
49,原神,BV1zQ4y1V7y5,《原神》4.3版本「蔷薇与铳枪」前瞻特别节目回顾,2023-12-08 21:35:00,81039,2521,3266,14151,12861,19067,1457959
50,原神,BV1GC4y1X77i,《原神》4.3版本PV：「蔷薇与铳枪」,2023-12-08 20:50:36,198140,16000,8536,44166,37625,11495,4581841
51,原神,BV1AQ4y1V7bV,《原神》「流光拾遗之旅」——尘世篇·蛋雕,2023-12-07 12:00:00,107233,4042,2067,35899,11082,2861,1127251
52,原神,BV1Zw411P7uK,水的轻语——《原神》「轻涟」系列创作的幕后,2023-11-29 12:00:00,194240,10555,6390,94026,36839,8977,1761953
53,原神,BV1vu4y1b7Y9,《原神》过场动画-「罪人的终幕」,2023-11-17 18:00:53,276309,26390,11100,184375,103131,11663,2989718
54,原神,BV12w411W7i2,《原神》过场动画-「吞星之鲸」,2023-11-15 18:00:55,125746,5761,4788,27839,21215,3397,1430406
55,原神,BV1pa4y1S77e,《原神》「流光拾遗之旅」——尘世篇·麦秆画,2023-11-13 12:39:28,110155,4836,2341,40366,12083,3357,1082584
