"Date","amount"
"2024-05-14","14625"
"2024-05-13","17730"
"2024-05-12","14943"
"2024-05-11","14554"
"2024-05-10","14042"
"2024-05-09","15632"
"2024-05-08","15646"
"2024-05-07","17790"
"2024-05-06","18412"
"2024-05-05","17688"
"2024-05-04","17441"
"2024-05-03","20539"
"2024-05-02","23454"
"2024-05-01","22356"
"2024-04-30","24356"
"2024-04-29","15665"
"2024-04-28","18240"
"2024-04-27","19300"
"2024-04-26","19540"
"2024-04-25","24107"
"2024-04-24","16514"
"2024-04-23","18166"
"2024-04-22","17637"
"2024-04-21","19871"
"2024-04-20","14012"
"2024-04-19","14328"
"2024-04-18","14103"
"2024-04-17","15399"
"2024-04-16","16310"
"2024-04-15","18483"
"2024-04-14","17685"
"2024-04-13","15803"
"2024-04-12","16813"
"2024-04-11","15802"
"2024-04-10","14838"
"2024-04-09","15636"
"2024-04-08","17316"
"2024-04-07","18136"
"2024-04-06","18867"
"2024-04-05","20289"
"2024-04-04","21818"
"2024-04-03","17924"
"2024-04-02","16314"
"2024-04-01","18442"
"2024-03-31","18492"
"2024-03-30","14764"
"2024-03-29","14237"
"2024-03-28","15959"
"2024-03-27","17655"
"2024-03-26","20277"
"2024-03-25","20002"
"2024-03-24","24286"
"2024-03-23","17866"
"2024-03-22","16797"
"2024-03-21","17047"
"2024-03-20","17840"
"2024-03-19","20281"
"2024-03-18","19754"
"2024-03-17","24825"
"2024-03-16","19087"
"2024-03-15","16484"
"2024-03-14","17688"
"2024-03-13","17592"
"2024-03-12","15711"
"2024-03-11","22117"
"2024-03-10","19700"
"2024-03-09","17772"
"2024-03-08","14150"
"2024-03-07","14441"
"2024-03-06","15772"
"2024-03-05","15687"
"2024-03-04","17812"
"2024-03-03","17855"
"2024-03-02","14863"
"2024-03-01","15854"
"2024-02-29","15255"
"2024-02-28","14511"
"2024-02-27","17104"
"2024-02-26","17842"
"2024-02-25","17652"
"2024-02-24","18089"
"2024-02-23","18141"
"2024-02-22","17852"
"2024-02-21","18259"
"2024-02-20","18370"
"2024-02-19","18455"
"2024-02-18","17645"
"2024-02-17","18338"
"2024-02-16","17253"
"2024-02-15","16119"
"2024-02-14","18897"
"2024-02-13","17844"
"2024-02-12","22185"
"2024-02-11","20399"
"2024-02-10","20618"
"2024-02-09","19566"
"2024-02-08","18564"
"2024-02-07","18953"
"2024-02-06","15711"
"2024-02-05","20234"
"2024-02-04","20940"
"2024-02-03","20274"
"2024-02-02","30505"
"2024-02-01","26951"
"2024-01-31","19076"
"2024-01-30","20259"
"2024-01-29","23388"
"2024-01-28","18245"
"2024-01-27","17625"
"2024-01-26","15883"
"2024-01-25","15879"
"2024-01-24","17624"
"2024-01-23","17710"
"2024-01-22","22839"
"2024-01-21","20966"
"2024-01-20","17605"
"2024-01-19","18365"
"2024-01-18","18451"
"2024-01-17","20221"
"2024-01-16","20476"
"2024-01-15","27646"
"2024-01-14","24571"
"2024-01-13","22225"
"2024-01-12","18665"
"2024-01-11","18469"
"2024-01-10","18283"
"2024-01-09","17764"
"2024-01-08","19680"
"2024-01-07","9397"
"2024-01-06","9447"
"2024-01-05","11708"
"2024-01-04","17223"
"2024-01-03","24418"
"2024-01-02","30157"
"2024-01-01","22859"
"2023-12-31","24500"
"2023-12-30","22759"
"2023-12-29","24986"
"2023-12-28","24453"
"2023-12-27","19730"
"2023-12-26","20106"
"2023-12-25","21243"
"2023-12-24","24546"
"2023-12-23","21131"
"2023-12-22","20332"
"2023-12-21","18556"
"2023-12-20","23624"
"2023-12-19","19811"
"2023-12-18","21519"
"2023-12-17","20869"
"2023-12-16","20837"
"2023-12-15","19965"
"2023-12-14","17728"
"2023-12-13","17736"
"2023-12-12","18275"
"2023-12-11","19105"
"2023-12-10","20426"
"2023-12-09","20251"
"2023-12-08","17029"
"2023-12-07","15576"
"2023-12-06","17622"
"2023-12-05","20249"
"2023-12-04","23566"
"2023-12-03","25920"
"2023-12-02","24522"
"2023-12-01","22329"
"2023-11-30","21252"
"2023-11-29","20953"
"2023-11-28","21607"
"2023-11-27","24361"
"2023-11-26","25131"
"2023-11-25","28669"
"2023-11-24","21840"
"2023-11-23","23865"
"2023-11-22","23432"
"2023-11-21","26998"
"2023-11-20","27466"
"2023-11-19","29929"
"2023-11-18","26995"
"2023-11-17","24549"
"2023-11-16","23660"
"2023-11-15","24413"
"2023-11-14","24931"
"2023-11-13","29129"
"2023-11-12","30107"
"2023-11-11","36163"
"2023-11-10","30351"
"2023-11-09","30065"
"2023-11-08","31827"
"2023-11-07","24320"
"2023-11-06","28131"
"2023-11-05","29946"
"2023-11-04","27816"
"2023-11-03","21889"
"2023-11-02","21179"
"2023-11-01","21230"
"2023-10-31","22055"
"2023-10-30","24805"
"2023-10-29","29083"
"2023-10-28","25089"
"2023-10-27","24491"
"2023-10-26","24403"
"2023-10-25","25484"
"2023-10-24","28556"
"2023-10-23","30082"
"2023-10-22","36903"
"2023-10-21","28104"
"2023-10-20","23649"
"2023-10-19","26000"
"2023-10-18","24120"
"2023-10-17","24231"
"2023-10-16","28762"
"2023-10-15","39978"
"2023-10-14","40518"
"2023-10-13","27404"
"2023-10-12","24283"
"2023-10-11","21190"
"2023-10-10","20589"
"2023-10-09","20461"
"2023-10-08","25694"
"2023-10-07","28501"
"2023-10-06","30620"
"2023-10-05","36392"
"2023-10-04","29979"
"2023-10-03","29950"
"2023-10-02","30102"
"2023-10-01","30648"
"2023-09-30","30135"
"2023-09-29","33337"
"2023-09-28","25830"
"2023-09-27","24235"
"2023-09-26","19084"
"2023-09-25","19801"
"2023-09-24","24301"
"2023-09-23","24368"
"2023-09-22","16871"
"2023-09-21","17240"
"2023-09-20","18785"
"2023-09-19","19676"
"2023-09-18","24505"
"2023-09-17","27344"
"2023-09-16","29568"
"2023-09-15","20028"
"2023-09-14","17823"
"2023-09-13","20513"
"2023-09-12","18870"
"2023-09-11","23612"
"2023-09-10","24566"
"2023-09-09","23690"
"2023-09-08","19926"
"2023-09-07","17867"
"2023-09-06","20454"
"2023-09-05","17720"
"2023-09-04","18822"
"2023-09-03","19720"
"2023-09-02","21041"
"2023-09-01","21857"
"2023-08-31","20999"
"2023-08-30","21979"
"2023-08-29","23800"
"2023-08-28","22839"
"2023-08-27","24409"
"2023-08-26","24938"
"2023-08-25","23776"
"2023-08-24","28422"
"2023-08-23","28133"
"2023-08-22","22560"
"2023-08-21","23124"
"2023-08-20","24161"
"2023-08-19","24420"
"2023-08-18","26448"
"2023-08-17","29411"
"2023-08-16","29248"
"2023-08-15","25393"
"2023-08-14","24428"
"2023-08-13","24535"
"2023-08-12","24239"
"2023-08-11","24430"
"2023-08-10","19903"
"2023-08-09","20280"
"2023-08-08","20923"
"2023-08-07","21824"
"2023-08-06","20418"
"2023-08-05","20402"
"2023-08-04","19184"
"2023-08-03","20261"
"2023-08-02","20389"
"2023-08-01","20516"
"2023-07-31","19842"
"2023-07-30","20123"
"2023-07-29","20571"
"2023-07-28","23287"
"2023-07-27","23610"
"2023-07-26","24129"
"2023-07-25","28903"
"2023-07-24","22295"
"2023-07-23","20910"
"2023-07-22","24279"
"2023-07-21","24432"
"2023-07-20","20901"
"2023-07-19","19643"
"2023-07-18","20723"
"2023-07-17","20419"
"2023-07-16","20711"
"2023-07-15","20268"
"2023-07-14","20630"
"2023-07-13","24208"
"2023-07-12","22743"
"2023-07-11","29156"
"2023-07-10","29135"
"2023-07-09","30033"
"2023-07-08","30550"
"2023-07-07","30884"
"2023-07-06","30910"
"2023-07-05","32300"
"2023-07-04","29330"
"2023-07-03","29215"
"2023-07-02","28552"
"2023-07-01","31766"
"2023-06-30","28992"
"2023-06-29","28613"
"2023-06-28","26117"
"2023-06-27","28373"
"2023-06-26","29474"
"2023-06-25","29968"
"2023-06-24","28649"
"2023-06-23","29433"
"2023-06-22","30098"
"2023-06-21","28637"
"2023-06-20","29430"
"2023-06-19","26286"
"2023-06-18","27943"
"2023-06-17","29958"
"2023-06-16","31577"
"2023-06-15","31378"
"2023-06-14","30956"
"2023-06-13","30701"
"2023-06-12","28443"
"2023-06-11","28321"
"2023-06-10","29995"
"2023-06-09","23927"
"2023-06-08","20096"
"2023-06-07","19576"
"2023-06-06","24789"
"2023-06-05","24955"
