Date,粉丝总数,粉丝变化
2019/5/28,8253,0
2019/5/29,8445,1020
2019/5/30,8566,156
2019/5/31,8796,229
2019/6/1,8949,191
2019/6/2,9065,115
2019/6/3,9106,78
2019/6/4,9153,44
2019/6/5,9195,44
2019/6/7,42636,16668
2019/6/8,89138,26618
2019/6/9,101593,12393
2019/6/10,136203,34581
2019/6/11,182032,48502
2019/6/12,215938,40119
2019/6/13,240595,24637
2019/6/14,262499,21823
2019/6/15,281621,16943
2019/6/18,295151,4461
2019/6/19,298106,4103
2019/6/20,303791,5501
2019/6/21,331171,16312
2019/6/22,356573,26915
2019/6/23,375327,18304
2019/6/24,386517,11174
2019/6/26,400974,7295
2019/6/27,404844,3854
2019/6/28,407501,2630
2019/6/29,411027,3106
2019/6/30,414266,3164
2019/7/1,416398,2796
2019/7/2,418411,2013
2019/7/3,420333,1919
2019/7/4,422295,1941
2019/7/5,425395,2532
2019/7/6,428046,2647
2019/7/7,430106,2354
2019/7/8,431884,1920
2019/7/9,433837,1952
2019/7/10,435663,1823
2019/7/11,437415,1750
2019/7/12,439317,1827
2019/7/13,441193,1873
2019/7/14,442866,1774
2019/7/15,444421,1549
2019/7/16,445957,1545
2019/7/20,450743,1184
2019/7/21,451562,1120
2019/7/22,452205,745
2019/7/23,452836,637
2019/7/24,453418,581
2019/7/25,454080,622
2019/7/26,454235,408
2019/7/27,454634,398
2019/7/28,455051,416
2019/7/29,455539,452
2019/7/30,455880,415
2019/7/31,456284,403
2019/8/1,457395,757
2019/8/2,461292,3640
2019/8/3,463922,3157
2019/8/4,466353,2406
2019/8/5,468469,2108
2019/8/6,471409,2823
2019/8/7,474169,2826
2019/8/8,475728,1550
2019/8/9,478925,2400
2019/8/11,481494,1259
2019/8/12,482338,1130
2019/8/16,486530,1101
2019/8/17,487395,732
2019/8/18,488041,637
2019/8/19,488764,721
2019/8/20,489607,824
2019/8/21,490871,1058
2019/8/22,492014,1119
2019/8/23,494199,1677
2019/8/24,495332,1128
2019/8/25,496081,741
2019/8/26,496693,678
2019/8/28,498226,758
2019/8/30,499645,705
2019/9/1,500343,678
2019/9/2,500990,663
2019/9/3,501461,465
2019/9/4,501925,428
2019/9/5,502146,337
2019/9/6,502575,333
2019/9/8,503262,346
2019/9/9,503563,334
2019/9/10,504104,520
2019/9/11,504582,432
2019/9/12,505109,505
2019/9/13,506142,1000
2019/9/14,506765,834
2019/9/15,507436,663
2019/9/16,508242,793
2019/9/17,509035,791
2019/9/18,510324,853
2019/9/19,511241,765
2019/9/21,512101,640
2019/9/22,513581,848
2019/9/24,514318,582
2019/9/25,514959,528
2019/9/28,515671,246
2019/9/29,516383,423
2019/9/30,516835,459
2019/10/1,517360,506
2019/10/2,517974,577
2019/10/3,518612,627
2019/10/4,519126,574
2019/10/5,519734,574
2019/10/6,520161,531
2019/10/7,520656,488
2019/10/9,521395,375
2019/10/10,522165,756
2019/10/11,522689,492
2019/10/12,523285,554
2019/10/13,523988,701
2019/10/15,525003,659
2019/10/18,526485,429
2019/10/19,526804,430
2019/10/20,527331,418
2019/10/24,542012,3745
2019/10/25,552276,10261
2019/10/26,562438,10317
2019/10/27,570486,9199
2019/10/28,575849,5361
2019/10/29,580706,4850
2019/10/31,589152,4183
2019/11/1,593539,4251
2019/11/2,597300,4074
2019/11/3,600146,2844
2019/11/4,601396,1249
2019/11/5,601700,303
2019/11/6,602023,313
2019/11/7,601825,-197
2019/11/8,602037,7
2019/11/9,602297,238
2019/11/10,602677,379
2019/11/11,602821,143
2019/11/12,603141,231
2019/11/13,603518,376
2019/11/14,603943,401
2019/11/15,604531,587
2019/11/16,605298,677
2019/11/17,605987,688
2019/11/18,606479,590
2019/11/19,607009,511
2019/11/20,607459,491
2019/11/21,608076,535
2019/11/22,608428,349
2019/11/23,609137,529
2019/11/24,609670,532
2019/11/25,610002,331
2019/11/26,610279,304
2019/11/27,610573,293
2019/11/28,611011,365
2019/11/29,611002,214
2019/11/30,611347,344
2019/12/1,611591,294
2019/12/2,611837,245
2019/12/3,612309,463
2019/12/4,612907,597
2019/12/5,614067,879
2019/12/6,615096,1028
2019/12/7,616201,1066
2019/12/8,617196,992
2019/12/9,617870,834
2019/12/10,618550,677
2019/12/11,619093,542
2019/12/12,619631,535
2019/12/13,619930,422
2019/12/14,620340,409
2019/12/15,620633,291
2019/12/16,620865,262
2019/12/17,621087,227
2019/12/18,621314,218
2019/12/19,621559,236
2019/12/20,624538,2965
2019/12/21,626347,2389
2019/12/22,627243,895
2019/12/23,627631,641
2019/12/24,628408,776
2019/12/25,629006,597
2019/12/26,629321,520
2019/12/29,630259,339
2019/12/31,630474,86
2020/1/1,630856,305
2020/1/2,630957,308
2020/1/3,631565,479
2020/1/5,633132,767
2020/1/6,633688,544
2020/1/7,634117,411
2020/1/8,634906,721
2020/1/11,637557,987
2020/1/14,665329,7933
2020/1/15,688689,21667
2020/1/16,705529,21508
2020/1/17,712257,14312
2020/1/19,738725,12668
2020/1/20,741128,2165
2020/1/21,741476,2240
2020/1/24,782540,10889
2020/1/26,807756,22767
2020/1/27,811783,3473
2020/1/28,815035,2267
2020/2/4,868100,7461
2020/2/12,931544,8434
2020/2/19,975597,6190
2020/2/20,980291,4129
2020/2/23,997437,5492
2020/2/27,1025937,7125
2020/2/28,1030404,4077
2020/2/29,1046388,15242
2020/3/1,1047179,6900
2020/3/2,1047829,600
2020/3/3,1048138,451
2020/3/4,1060688,8772
2020/3/5,1060674,930
2020/3/6,1064063,3127
2020/3/7,1073142,8069
2020/3/8,1073164,200
2020/3/9,1073499,287
2020/3/10,1074865,1311
2020/3/11,1086480,9650
2020/3/12,1100965,12310
2020/3/13,1114401,12441
2020/3/14,1122820,9017
2020/3/15,1123697,779
2020/3/16,1124009,470
2020/3/17,1127935,3665
2020/3/18,1170071,37337
2020/3/19,1206156,32039
2020/3/20,1231677,27116
2020/3/21,1249478,15696
2020/3/22,1256901,8016
2020/3/23,1260974,3313
2020/3/24,1266419,5370
2020/3/25,1278044,11186
2020/3/26,1283844,5092
2020/3/27,1291692,8398
2020/3/28,1298825,7133
2020/3/29,1300413,1588
2020/3/30,1306338,5925
2020/3/31,1312075,5737
2020/4/1,1328556,16481
2020/4/2,1333657,5101
2020/4/3,1341816,8159
2020/4/4,1341349,-467
2020/4/5,1342855,1506
2020/4/6,1344500,1645
2020/4/7,1346586,2086
2020/4/8,1352632,6046
2020/4/9,1354053,1421
2020/4/10,1355741,1688
2020/4/11,1361212,5471
2020/4/12,1362739,1527
2020/4/13,1363880,1141
2020/4/14,1364545,665
2020/4/15,1365607,1062
2020/4/16,1366049,442
2020/4/17,1367296,1247
2020/4/18,1369283,1987
2020/4/19,1369649,366
2020/4/20,1369087,-562
2020/4/21,1369208,121
2020/4/22,1369317,109
2020/4/23,1369150,-167
2020/4/24,1369229,79
2020/4/25,1375351,6122
2020/4/26,1375442,91
2020/4/27,1375524,82
2020/4/28,1376943,1419
2020/4/29,1378927,1984
2020/4/30,1378659,-268
2020/5/2,1383514,4855
2020/5/3,1383480,-34
2020/5/4,1383369,-111
2020/5/5,1383143,-226
2020/5/6,1386399,3256
2020/5/7,1386388,-11
2020/5/8,1386326,-62
2020/5/9,1391308,4982
2020/5/10,1392905,1597
2020/5/11,1392847,-58
2020/5/12,1392781,-66
2020/5/13,1397398,4617
2020/5/14,1397938,540
2020/5/15,1405172,7234
2020/5/16,1414298,9126
2020/5/17,1419207,4909
2020/5/18,1420111,904
2020/5/19,1421522,1411
2020/5/20,1423940,2418
2020/5/21,1424769,829
2020/5/22,1424611,-158
2020/5/23,1424962,351
2020/5/24,1425116,154
2020/5/25,1426040,924
2020/5/26,1429074,3034
2020/5/27,1429955,881
2020/5/28,1430736,781
2020/5/29,1431682,946
2020/5/30,1435676,3994
2020/5/31,1436755,1079
2020/6/1,1437888,1133
2020/6/2,1441170,3282
2020/6/3,1441636,466
2020/6/4,1442192,556
2020/6/5,1443765,1573
2020/6/6,1449070,5305
2020/6/7,1451907,2837
2020/6/8,1453472,1565
2020/6/9,1463941,10469
2020/6/10,1466665,2724
2020/6/11,1473800,7135
2020/6/12,1478852,5052
2020/6/13,1483881,5029
2020/6/14,1492577,8696
2020/6/15,1495863,3286
2020/6/16,1500094,4231
2020/6/17,1502397,2303
2020/6/18,1503058,661
2020/6/19,1502730,-328
2020/6/20,1506683,3953
2020/6/21,1507835,1152
2020/6/22,1508607,772
2020/6/23,1511035,2428
2020/6/24,1512388,1353
2020/6/25,1513236,848
2020/6/26,1514095,859
2020/6/27,1515133,1038
2020/6/28,1516741,1608
2020/6/29,1517280,539
2020/6/30,1519500,2220
2020/7/1,1519514,14
2020/7/2,1519482,-32
2020/7/4,1521883,2401
2020/7/5,1522672,789
2020/7/6,1523157,485
2020/7/7,1528651,5494
2020/7/8,1529593,942
2020/7/9,1531783,2190
2020/7/10,1538851,7068
2020/7/11,1562685,23834
2020/7/12,1575439,12754
2020/7/13,1579061,3622
2020/7/14,1593912,14851
2020/7/15,1606058,12146
2020/7/16,1606491,433
2020/7/17,1609676,3185
2020/7/18,1621917,12241
2020/7/19,1622987,1070
2020/7/20,1624873,1886
2020/7/21,1633173,8300
2020/7/22,1637955,4782
2020/7/24,1643804,5849
2020/7/25,1651302,7498
2020/7/26,1652177,875
2020/7/27,1655276,3099
2020/7/28,1662968,7692
2020/7/29,1670403,7435
2020/7/30,1677433,7030
2020/7/31,1690555,13122
2020/8/1,1693717,3162
2020/8/2,1707265,13548
2020/8/3,1718380,11115
2020/8/4,1729738,11358
2020/8/5,1738346,8608
2020/8/6,1747289,8943
2020/8/7,1760108,12819
2020/8/8,1770447,10339
2020/8/9,1781936,11489
2020/8/10,1790272,8336
2020/8/11,1802253,11981
2020/8/12,1810588,8335
2020/8/13,1835207,24619
2020/8/14,1853777,18570
2020/8/15,1866320,12543
2020/8/16,1871723,5403
2020/8/17,1890629,18906
2020/8/18,1921783,31154
2020/8/19,1936335,14552
2020/8/20,1939185,2850
2020/8/21,1956057,16872
2020/8/22,1965216,9159
2020/8/23,1975073,9857
2020/8/24,1982498,7425
2020/8/25,1989566,7068
2020/8/26,1996422,6856
2020/8/27,2001255,4833
2020/8/28,2037977,36722
2020/8/29,2058071,20094
2020/8/30,2073335,15264
2020/8/31,2085847,12512
2020/9/1,2097808,11961
2020/9/2,2113760,15952
2020/9/3,2126657,12897
2020/9/4,2136788,10131
2020/9/6,2167775,30987
2020/9/7,2183719,15944
2020/9/8,2198284,14565
2020/9/9,2212646,14362
2020/9/10,2245833,33187
2020/9/11,2264492,18659
2020/9/12,2290016,25524
2020/9/13,2336383,46367
2020/9/14,2370876,34493
2020/9/15,2441828,70952
2020/9/16,2483356,41528
2020/9/17,2505516,22160
2020/9/18,2521720,16204
2020/9/19,2550751,29031
2020/9/20,2573037,22286
2020/9/21,2589678,16641
2020/9/22,2615414,25736
2020/9/23,2666252,50838
2020/9/24,2698844,32592
2020/9/25,2775881,77037
2020/9/26,2851433,75552
2020/9/27,2914645,63212
2020/9/28,3082228,167583
2020/9/29,3123877,41649
2020/9/30,3191348,67471
2020/10/1,3263579,72231
2020/10/2,3307185,43606
2020/10/3,3347651,40466
2020/10/4,3382243,34592
2020/10/5,3413670,31427
2020/10/6,3448931,35261
2020/10/7,3478212,29281
2020/10/8,3499479,21267
2020/10/9,3508548,9069
2020/10/10,3532168,23620
2020/10/11,3552147,19979
2020/10/12,3565160,13013
2020/10/13,3579272,14112
2020/10/14,3593761,14489
2020/10/15,3605777,12016
2020/10/16,3621249,15472
2020/10/17,3644346,23097
2020/10/18,3658153,13807
2020/10/19,3667674,9521
2020/10/20,3675652,7978
2020/10/21,3682254,6602
2020/10/22,3690911,8657
2020/10/23,3700527,9616
2020/10/24,3716093,15566
2020/10/25,3728812,12719
2020/10/26,3734563,5751
2020/10/27,3740298,5735
2020/10/28,3750511,10213
2020/10/29,3758646,8135
2020/10/30,3794583,35937
2020/10/31,3811308,16725
2020/11/1,3822394,11086
2020/11/2,3826377,3983
2020/11/3,3830451,4074
2020/11/4,3838870,8419
2020/11/5,3844783,5913
2020/11/6,3892116,47333
2020/11/7,3905460,13344
2020/11/8,3915712,10252
2020/11/9,3921567,5855
2020/11/10,3927248,5681
2020/11/11,3935523,8275
2020/11/12,3941157,5634
2020/11/13,3949330,8173
2020/11/14,3963328,13998
2020/11/15,3973120,9792
2020/11/16,3973830,710
2020/11/17,3977461,3631
2020/11/18,3978375,914
2020/11/19,3981137,2762
2020/11/20,3987230,6093
2020/11/21,3998417,11187
2020/11/22,4005432,7015
2020/11/23,4017591,12159
2020/11/24,4025105,7514
2020/11/25,4030334,5229
2020/11/26,4034719,11250
2020/11/27,4040724,5782
2020/11/28,4057401,14675
2020/11/29,4069141,11740
2020/11/30,4083661,14520
2020/12/1,4091838,8177
2020/12/2,4101006,9168
2020/12/3,4112893,11887
2020/12/4,4125535,12642
2020/12/5,4143155,17620
2020/12/6,4158401,15246
2020/12/7,4161605,3204
2020/12/8,4167753,6148
2020/12/9,4174432,6679
2020/12/10,4180239,5807
2020/12/11,4254470,74231
2020/12/12,4266365,11895
2020/12/13,4275119,8754
2020/12/14,4279658,4539
2020/12/15,4283611,3953
2020/12/16,4288181,4570
2020/12/17,4286976,-1205
2020/12/18,4291777,4801
2020/12/19,4301055,9278
2020/12/20,4305544,4489
2020/12/21,4306304,760
2020/12/22,4307595,1170
2020/12/23,4308707,1060
2020/12/24,4311047,2486
2020/12/25,4315541,3899
2020/12/26,4323698,8069
2020/12/27,4328929,6026
2020/12/28,4332599,2913
2020/12/29,4336391,3467
2020/12/30,4338886,2462
2020/12/31,4347587,8155
2021/1/1,4358792,12504
2021/1/2,4366847,6930
2021/1/3,4369827,7385
2021/1/4,4372083,1639
2021/1/5,4375507,2953
2021/1/6,4381428,6893
2021/1/7,4389760,6747
2021/1/8,4395254,5366
2021/1/9,4403875,8285
2021/1/10,4409557,6032
2021/1/11,4417220,7380
2021/1/12,4424890,7176
2021/1/13,4431466,7490
2021/1/16,4454856,7600
2021/1/17,4461844,8788
2021/1/18,4467980,5246
2021/1/19,4471597,5749
2021/1/20,4483729,9684
2021/1/21,4487942,10715
2021/1/22,4497614,11167
2021/1/24,4627794,48317
2021/1/25,4637306,8674
2021/1/26,4641751,9896
2021/1/27,4650323,9292
2021/1/28,4663842,11617
2021/1/30,4692092,12482
2021/1/31,4702464,11800
2021/2/1,4711267,10916
2021/2/2,4726085,15064
2021/2/3,4744567,13523
2021/2/4,4764042,21013
2021/2/5,4778500,17746
2021/2/6,4795351,18113
2021/2/7,4813649,15283
2021/2/8,4829055,14000
2021/2/9,4841765,12072
2021/2/10,4854164,13214
2021/2/11,4869505,15173
2021/2/12,4880089,12713
2021/2/13,4890895,10457
2021/2/14,4898960,6897
2021/2/15,4908132,8401
2021/2/16,4917301,8489
2021/2/17,4928069,9649
2021/2/18,4937698,9532
2021/2/19,4946145,8219
2021/2/20,4952446,6093
2021/2/21,4958290,5945
2021/2/22,4965831,6830
2021/2/23,4970868,7605
2021/2/24,4980130,6366
2021/2/25,4988913,8926
2021/2/26,4999666,9551
2021/2/27,5026047,27395
2021/2/28,5038213,9802
2021/3/1,5047251,8870
2021/3/2,5053470,5938
2021/3/3,5062651,8263
2021/3/4,5090069,26233
2021/3/5,5103121,12921
2021/3/6,5189451,83918
2021/3/7,5205296,14810
2021/3/8,5212810,8548
2021/3/9,5220089,6735
2021/3/10,5226300,6159
2021/3/11,5232078,5517
2021/3/12,5239109,8058
2021/3/13,5259723,16164
2021/3/14,5272539,13639
2021/3/15,5278550,4850
2021/3/16,5285016,6831
2021/3/17,5296553,10870
2021/3/18,5305746,8564
2021/3/20,5333940,13535
2021/3/21,5344013,9288
2021/3/22,5348705,5774
2021/3/23,5352133,5161
2021/3/24,5363798,8923
2021/3/25,5371390,6808
2021/3/26,5377612,6106
2021/3/27,5390279,12402
2021/3/28,5399237,7867
2021/3/29,5401517,5111
2021/3/30,5406209,3926
2021/3/31,5410722,4141
2021/4/1,5416762,5613
2021/4/2,5425797,9619
2021/4/3,5442542,15102
2021/4/4,5456108,12850
2021/4/5,5461654,5356
2021/4/6,5464002,2701
2021/4/7,5466557,2147
2021/4/8,5468356,3304
2021/4/9,5473854,4371
2021/4/10,5483858,9007
2021/4/11,5490844,8666
2021/4/12,5493940,2473
2021/4/13,5496847,2726
2021/4/14,5501722,4338
2021/4/15,5509805,7260
2021/4/16,5583544,68205
2021/4/17,5596445,12479
2021/4/18,5602029,12789
2021/4/19,5606761,3556
2021/4/20,5608877,1825
2021/4/21,5610876,2131
2021/4/22,5614796,3494
2021/4/23,5620131,6114
2021/4/24,5629242,8694
2021/4/25,5630706,1285
2021/4/26,5629826,-526
2021/4/27,5634088,4071
2021/4/28,5637890,3692
2021/4/29,5640676,2651
2021/4/30,5649944,8529
2021/5/1,5662719,15359
2021/5/2,5676422,11443
2021/5/3,5684808,8560
2021/5/4,5692482,7635
2021/5/5,5697863,4727
2021/5/6,5698359,775
2021/5/7,5701362,2735
2021/5/8,5705126,4187
2021/5/9,5709365,3294
2021/5/10,5710218,1250
2021/5/11,5711747,1460
2021/5/12,5714828,3040
2021/5/13,5717559,3017
2021/5/14,5730880,12006
2021/5/15,5744014,12784
2021/5/16,5747795,7186
2021/5/17,5753205,4742
2021/5/18,5757170,4261
2021/5/19,5761064,3522
2021/5/20,5763150,4131
2021/5/21,5770653,5747
2021/5/22,5780918,8160
2021/5/23,5788979,7630
2021/5/24,5792607,3290
2021/5/25,5796922,4439
2021/5/26,5802995,6616
2021/5/27,5809225,5417
2021/5/28,5840603,30151
2021/5/29,5852883,12072
2021/5/30,5861397,8454
2021/5/31,5865492,3865
2021/6/1,5870714,4694
2021/6/2,5873818,2912
2021/6/3,5878517,5494
2021/6/4,5886692,6336
2021/6/5,5897572,10682
2021/6/6,5906766,9209
2021/6/7,5912412,7313
2021/6/8,5923345,9119
2021/6/9,5934625,10795
2021/6/10,5944805,11371
2021/6/11,5956219,9849
2021/6/12,5970144,14043
2021/6/13,5984211,13335
2021/6/14,5992742,13579
2021/6/15,6000233,5896
2021/6/16,6007717,7090
2021/6/17,6014401,7508
2021/6/18,6014908,6305
