Date,粉丝总数,粉丝变化,收入,下载量
2020/9/25,2775881,77037,303,322620
2020/9/26,2851433,75552,173,314471
2020/9/27,2914645,63212,298,310539
2020/9/28,3082228,167583,1844272,324152
2020/9/29,3123877,41649,1828843,328164
2020/9/30,3191348,67471,1809778,316764
2020/10/1,3263579,72231,1816613,325064
2020/10/2,3307185,43606,1821982,318579
2020/10/3,3347651,40466,1818647,261772
2020/10/4,3382243,34592,1813924,112494
2020/10/5,3413670,31427,1816348,113399
2020/10/6,3448931,35261,1815227,112760
2020/10/7,3478212,29281,1817253,113302
2020/10/8,3499479,21267,1784352,116795
2020/10/9,3508548,9069,1804259,115726
2020/10/10,3532168,23620,1805368,110416
2020/10/11,3552147,19979,1782467,109703
2020/10/12,3565160,13013,1515592,115327
2020/10/13,3579272,14112,1803618,121485
2020/10/14,3593761,14489,1815285,111289
2020/10/15,3605777,12016,1814748,116148
2020/10/16,3621249,15472,1675220,107413
2020/10/17,3644346,23097,1490130,97490
2020/10/18,3658153,13807,1194978,79892
2020/10/19,3667674,9521,596879,85312
2020/10/20,3675652,7978,558528,82850
2020/10/21,3682254,6602,1883518,75944
2020/10/22,3690911,8657,1812600,41309
2020/10/23,3700527,9616,1811568,44441
2020/10/24,3716093,15566,1789700,59479
2020/10/25,3728812,12719,1588653,42077
2020/10/26,3734563,5751,1467531,76646
2020/10/27,3740298,5735,787682,46244
2020/10/28,3750511,10213,582008,42546
2020/10/29,3758646,8135,640137,45733
2020/10/30,3794583,35937,608520,44383
2020/10/31,3811308,16725,569720,44375
2020/11/1,3822394,11086,517723,42636
2020/11/2,3826377,3983,517723,47020
2020/11/3,3830451,4074,516723,42326
2020/11/4,3838870,8419,794091,65824
2020/11/5,3844783,5913,551771,76231
2020/11/6,3892116,47333,616097,76435
2020/11/7,3905460,13344,517362,50224
2020/11/8,3915712,10252,676907,59299
2020/11/9,3921567,5855,619261,42625
2020/11/10,3927248,5681,545725,59746
2020/11/11,3935523,8275,1787563,76868
2020/11/12,3941157,5634,1526436,85690
2020/11/13,3949330,8173,1519764,51361
2020/11/14,3963328,13998,1527316,48614
2020/11/15,3973120,9792,1516942,70302
2020/11/16,3973830,710,1259424,61080
2020/11/17,3977461,3631,782494,42153
2020/11/18,3978375,914,717986,42760
2020/11/19,3981137,2762,1321401,41862
