播主名称,ID,头像,认证信息,行业,内容标签,总粉丝,飞瓜指数,总作品,总点赞,,,,,,
原神,yuanshen_mihoyo,https://p11.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_980d58907aeb49ad98eee954b5737a87.heic?from=2956013662,上海米哈游影铁科技有限公司,游戏,,8522435,1043.1,1349,148913469,,,,,,
标题,视频发布时间,视频时长,视频链接,视频热度,热词Top3,视频销售额,视频销量,点赞,评论,分享,收藏,互动量,互动率,GPM,播放量
#原神 心朝乂安·鹿野院平藏|天衣但无缝，也惧凉风吹。,2022/5/16 18:02,图文视频,https://www.douyin.com/share/video/7098272497824484642/?mid=7059978932795345703,14.52,"风系,小男孩,万叶",--,--,22174,3666,3174,819,29833,0.00%,0,536960
#原神 五郎生日快乐｜没想到今天能收到这么精致的生日蛋糕，谢谢你！,2022/5/18 12:00,11秒,https://www.douyin.com/share/video/7098921286801362183/?mid=7098921353041955597,52.88,"生日快乐,五郎,希娜",--,--,275780,21389,4634,9942,311745,0.00%,0,3824014
#原神 #荒梦藏虞渊 亲爱的旅行者，《原神》2.7版本前瞻特别节目将于5月20日（本周五）晚20:00正式开启。,2022/5/19 19:48,图文视频,https://www.douyin.com/share/video/7099412930776550671/?mid=7074792272449358600,14.03,"刻晴,原石,复刻",--,--,21449,5390,3765,689,31293,0.00%,0,517333
#原神 #荒梦藏虞渊 《原神》2.7版本PV：「荒梦藏虞渊」,2022/5/20 20:41,3分32秒,https://www.douyin.com/share/video/7099797593663753479/?mid=7099797793342114591,23.88,"UAK2VSX9376A,KS4XTXB96MPA,CS4WBFBQ6LPW",--,--,108152,12232,10301,4757,135442,0.00%,0,1932018
#原神 #荒梦藏虞渊 《原神》2.7版本「荒梦藏虞渊」前瞻特别节目回顾,2022/5/20 21:54,图文视频,https://www.douyin.com/share/video/7099816631286828322/?mid=7099779652788456196,13.02,"万叶,复刻,原石",--,--,17314,1432,1465,604,20815,0.00%,0,548121
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|开场,2022/5/21 10:00,1分41秒,https://www.douyin.com/share/video/7099858572246289695/?mid=7099858933140982558,50.36,"坤坤,老师,一斗",--,--,334320,11458,7105,11445,364328,0.00%,0,4190338
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|夜兰介绍,2022/5/21 11:00,5分17秒,https://www.douyin.com/share/video/7099860495791885581/?mid=7099860875812621093,20.48,"夜兰,夜阑,万叶",--,--,90441,3660,2056,1836,97993,0.00%,0,1720554
#原神 云堇生日快乐｜谢谢你来捧场。方才一曲如何？,2022/5/21 12:00,11秒,https://www.douyin.com/share/video/7100034611845156132/?mid=7100034717533195022,43.16,"生日快乐,云先生,云堇",--,--,189627,4636,1579,4971,200813,0.00%,0,2692896
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|魔神任务预告,2022/5/21 14:00,2分5秒,https://www.douyin.com/share/video/7099865090094042376/?mid=7099865608635861796,21.37,"坤坤,三神,开大能",--,--,111271,3898,870,2634,118673,0.00%,0,2137400
#原神 #荒梦藏虞渊 2.7版本前瞻特别节目|久岐忍介绍 ,2022/5/21 16:00,4分26秒,https://www.douyin.com/share/video/7099867918615186701/?mid=7099867324877916964,18.21,"阿卡丽,保底,刻晴",--,--,53689,1841,1473,1494,58497,0.00%,0,1075249
