"Date","income"
"2024-05-14","498482"
"2024-05-13","450402"
"2024-05-12","434457"
"2024-05-11","484442"
"2024-05-10","435268"
"2024-05-09","397070"
"2024-05-08","481318"
"2024-05-07","478309"
"2024-05-06","517389"
"2024-05-05","519951"
"2024-05-04","465477"
"2024-05-03","620420"
"2024-05-02","619092"
"2024-05-01","648855"
"2024-04-30","1248883"
"2024-04-29","1181271"
"2024-04-28","1796690"
"2024-04-27","1805476"
"2024-04-26","1845585"
"2024-04-25","1881663"
"2024-04-24","435426"
"2024-04-23","692766"
"2024-04-22","378869"
"2024-04-21","290680"
"2024-04-20","271028"
"2024-04-19","338889"
"2024-04-18","427928"
"2024-04-17","434698"
"2024-04-16","361614"
"2024-04-15","345920"
"2024-04-14","374927"
"2024-04-13","376977"
"2024-04-12","336457"
"2024-04-11","478592"
"2024-04-10","618677"
"2024-04-09","700912"
"2024-04-08","718524"
"2024-04-07","1174201"
"2024-04-06","1523783"
"2024-04-05","1487862"
"2024-04-04","1478075"
"2024-04-03","1809866"
"2024-04-02","279378"
"2024-04-01","259673"
"2024-03-31","202924"
"2024-03-30","213740"
"2024-03-29","215321"
"2024-03-28","237460"
"2024-03-27","245521"
"2024-03-26","287254"
"2024-03-25","313201"
"2024-03-24","307353"
"2024-03-23","303175"
"2024-03-22","316906"
"2024-03-21","458478"
"2024-03-20","501815"
"2024-03-19","517987"
"2024-03-18","1586325"
"2024-03-17","1792168"
"2024-03-16","1808299"
"2024-03-15","1784941"
"2024-03-14","1844351"
"2024-03-13","236509"
"2024-03-12","244983"
"2024-03-11","269677"
"2024-03-10","211617"
"2024-03-09","179717"
"2024-03-08","179414"
"2024-03-07","194135"
"2024-03-06","229570"
"2024-03-05","267153"
"2024-03-04","306739"
"2024-03-03","227816"
"2024-03-02","195560"
"2024-03-01","1024472"
"2024-02-29","229594"
"2024-02-28","228982"
"2024-02-27","267267"
"2024-02-26","313845"
"2024-02-25","281487"
"2024-02-24","313662"
"2024-02-23","597215"
"2024-02-22","731641"
"2024-02-21","1819385"
"2024-02-20","494316"
"2024-02-19","359738"
"2024-02-18","381005"
"2024-02-17","333242"
"2024-02-16","334586"
"2024-02-15","389011"
"2024-02-14","497755"
"2024-02-13","445399"
"2024-02-12","476985"
"2024-02-11","453682"
"2024-02-10","434822"
"2024-02-09","391772"
"2024-02-08","519742"
"2024-02-07","478247"
"2024-02-06","550441"
"2024-02-05","1523064"
"2024-02-04","1805726"
"2024-02-03","1811098"
"2024-02-02","1842004"
"2024-02-01","1836303"
"2024-01-31","342973"
"2024-01-30","364891"
"2024-01-29","312860"
"2024-01-28","313066"
"2024-01-27","313626"
"2024-01-26","617953"
"2024-01-25","353234"
"2024-01-24","386883"
"2024-01-23","407375"
"2024-01-22","372597"
"2024-01-21","386448"
"2024-01-20","330548"
"2024-01-19","391704"
"2024-01-18","480871"
"2024-01-17","570295"
"2024-01-16","570116"
"2024-01-15","582250"
"2024-01-14","720646"
"2024-01-13","1256123"
"2024-01-12","1517889"
"2024-01-11","951482"
"2024-01-10","1845161"
"2024-01-09","431620"
"2024-01-08","330455"
"2024-01-07","494100"
"2024-01-06","313278"
"2024-01-05","276349"
"2024-01-04","361001"
"2024-01-03","358545"
"2024-01-02","359587"
"2024-01-01","262467"
"2023-12-31","310760"
"2023-12-30","320727"
"2023-12-29","351920"
"2023-12-28","519316"
"2023-12-27","692417"
"2023-12-26","1518747"
"2023-12-25","1545725"
"2023-12-24","1812462"
"2023-12-23","1820812"
"2023-12-22","1818394"
"2023-12-21","1828931"
"2023-12-20","1569908"
"2023-12-19","198426"
"2023-12-18","234965"
"2023-12-17","299500"
"2023-12-16","184158"
"2023-12-15","186426"
"2023-12-14","187368"
"2023-12-13","204852"
"2023-12-12","198702"
"2023-12-11","228909"
"2023-12-10","243574"
"2023-12-09","234091"
"2023-12-08","180200"
"2023-12-07","190532"
"2023-12-06","190832"
"2023-12-05","235550"
"2023-12-04","314066"
"2023-12-03","353047"
"2023-12-02","385773"
"2023-12-01","531497"
"2023-11-30","1154805"
"2023-11-29","1832917"
"2023-11-28","1836031"
"2023-11-27","1292972"
"2023-11-26","1433008"
"2023-11-25","771775"
"2023-11-24","621165"
"2023-11-23","1158894"
"2023-11-22","1389124"
"2023-11-21","1514172"
"2023-11-20","1258172"
"2023-11-19","719476"
"2023-11-18","718787"
"2023-11-17","1060439"
"2023-11-16","1285229"
"2023-11-15","1736517"
"2023-11-14","1803881"
"2023-11-13","1283235"
"2023-11-12","1521470"
"2023-11-11","1796185"
"2023-11-10","1844186"
"2023-11-09","1885867"
"2023-11-08","951291"
"2023-11-07","421294"
"2023-11-06","344771"
"2023-11-05","432715"
"2023-11-04","396008"
"2023-11-03","353473"
"2023-11-02","477035"
"2023-11-01","580302"
"2023-10-31","755890"
