"rpid","oid","mid","name","level","datetime","content","like","rcount"
"1666531742","54916636","15669659","终见燕京","5","2019-06-08 11:31:23","。。","6","6"
"1666535540","54916636","98629697","-_永_-","5","2019-06-08 11:31:26","了不得","3","5"
"1666535935","54916636","8085653","手烫","6","2019-06-08 11:31:58","求你了，让我进测试服吧，我什么都会做的","5192","143"
"1666536069","54916636","184655075","freeze25","5","2019-06-08 11:32:11","主角我怎么看成了绿托[蛆音娘_疑问][蛆音娘_疑问][蛆音娘_疑问]","65","5"
"1666528139","54916636","11653410","兽化-二号机","5","2019-06-08 11:32:18","冲冲冲！崩坏的旷野之息","2","0"
"1666536503","54916636","6702447","柳生雾隐","6","2019-06-08 11:32:44","希望是买断制游戏(=?ω?=)","1822","242"
"1666528851","54916636","18325755","飞翔的卷笔刀","6","2019-06-08 11:33:19","比隔壁某崩牌面多了，一开始就有小闪电[小电视_笑]","1011","18"
"1666528879","54916636","21323125","丶爱凛","5","2019-06-08 11:33:21","从今天开始我又是米卫兵了","2","0"
"1666533837","54916636","18760746","喝醉的鬼王","5","2019-06-08 11:33:29","爬墙，游泳，滑翔……崩崩崩你怎么回事，丢人玩意儿。","2","4"
"1666537149","54916636","19895699","为了w联盟","6","2019-06-08 11:33:33","前排！","2","0"
"1666537215","54916636","8074063","啊担心你","6","2019-06-08 11:33:38","这啥呀……pv质量爆炸","155","28"
"1666537218","54916636","87145113","原神第一偶像派蒙","5","2019-06-08 11:33:38","爬墙，游泳，滑翔有点像塞尔达诶","301","154"
"1666529132","54916636","12922304","叶鵺嶪","5","2019-06-08 11:33:41","我去，这游戏居然有男的？这游戏居然有男的，这游戏居然有男的？！？！？！
话说为什么我一个大男人要怎么激动？？？","15236","137"
"1666537434","54916636","10264497","方晓浅","6","2019-06-08 11:33:56","米哈游游戏质量还是有保障的","1","0"
"1666529337","54916636","29485140","神奇的育碧球啊","6","2019-06-08 11:33:59","我挺喜欢这类游戏的，希望能拿到个测试资格[2233娘_大哭]","1947","35"
"1666537661","54916636","88093768","慕薛澪","5","2019-06-08 11:34:15","评论是我复制来的，感觉挺有道理的。
1.别搞装备角色贬值和专属套装，氪不起了(@机八)
2.拜托你把故事线理清楚了(漫 画是个好东西)
3.只会滋生矛盾的pvp国战别再搞第次了4.人人都喜欢美少女，但不是人人都喜欢穿的少的美少女(烧钱vs方舟)
5.把概率的事给安排明白了再出池子(零点酒吧)
6.把主角的定位弄清楚了，“ 我们到底是谁?”(清洁工? 刀客特?无情的刷柱子机器? )
7.文案好好写，乖，不然刷你家甲板让你滑倒
8.初始角色=弟中弟中弟，这样不好(@白练)
9.帅气幽默有故事的男性角色谁不喜欢呢?如果还能打就更好了~ (银老板天下第- -)10.欢迎补充....","7","10"
"1666545812","54916636","196213939","逆天V狂龙","5","2019-06-08 11:36:05","想要测试服资格的我教你们，调查问卷里把自己填成无所不能的玩家，把自己整成什么都玩什么都会的亚子[蛆音娘_机智]","6920","60"
"1666542508","54916636","6114978","EvoLotus","6","2019-06-08 11:37:06","求求你让我进测试服吧，其他人什么都会做的","1","0"
"1666546586","54916636","93625252","塔尔瓦_","5","2019-06-08 11:37:11","终于想起来做游戏了[微笑]","3","0"
"1666546698","54916636","358825136","岩琪月","5","2019-06-08 11:37:22","这是塞尔达荒野之息对吧，这是塞尔达荒野之息对吧","7942","2152"
"1666546722","54916636","31693938","小染指o","6","2019-06-08 11:37:24","如果我有测试资格，我就直播吃一吨蔡徐坤[2233娘_卖萌]","419","17"
"1666547255","54916636","7751299","意义不明丶","6","2019-06-08 11:38:10","旷野之息？","1965","380"
"1666551177","54916636","35839965","夜无影暗","6","2019-06-08 11:38:48","我好像突然理解为什么先开pc和ios了","4","0"
"1666544249","54916636","6646795","silly沐","6","2019-06-08 11:38:50","这画质，这画面~吹爆！！[蛆音娘_卖萌][蛆音娘_卖萌][蛆音娘_卖萌][蛆音娘_卖萌][蛆音娘_卖萌]","174","25"
"1666547902","54916636","17067154","灬若只是初见灬","6","2019-06-08 11:39:04","说实话 登录手机平台真的不现实 虽然我预约的是安卓 但是这画质能遭得住就鬼了 蹦蹦蹦现在不开全特效都能5分钟煎蛋了","26","27"
